,ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label,country,iw_bin
99,1428,austria,"### Visiting
- Dropping by someone's home is considered impolite. Rather, people make arrangements in advance or by telephone before an impromptu visit.
- Guests are expected to offer to remove their shoes when entering a home. Hosts may provide a pair of house slippers to keep guests’ feet warm. It is also acceptable to simply wear one’s socks after removing shoes.
- Guests typically remain standing until they are instructed where to sit by the host.
- Hosts will often offer the best seat in the home to their guests.
- Should the host leave the room for a moment, they will usually offer guests something to occupy themselves (such as a book) until they can return.
- Hosts will also offer beverages such as water, tea, coffee or juice.
- People are expected to greet each person that enters the room. Standing up when an elder or higher-ranked person enters is also common practice.
",Etiquette,visiting,Respect for personal space and anticipation in social interactions.,It is considerate to arrange visits in advance and not drop by someone’s home unexpectedly.,Emily decided to surprise her friend Lisa by showing up at Lisa’s house unannounced with a homemade cake to celebrate Lisa’s recent promotion. Is what Emily did acceptable?,"Arranging visits in advance and not dropping by someone’s home unexpectedly is a sign of respect for personal space and anticipation in social interactions. Hence, Emily's actions are not acceptable given the cultural context.",no,austria,Catholic Europe
100,511,austria,"### Basic Etiquette
- Punctuality is highly valued in Austria. Being on time for meetings, appointments, services and parties is expected. Deadlines are expected to be met with little leeway. In social situations, one should arrive approximately five to 10 minutes before the designated time. If you expect delay, inform your Austrian counterpart or they may leave or begin the event without you.
- When making or answering phone calls, it is the norm to introduce oneself by saying one’s name (typically the surname, but the first name can be used if preferred). It is considered impolite if the caller or receiver does not say their name, even if accompanied with other polite greetings such as ‘hello' or ‘good morning'.
- Austrians tend to greet sales people when entering and leaving the store. The most common greeting is the casual ‘Grüß dich’ or ‘Grüß gott’ (God bless you).
",Etiquette,basic_etiquette,Respect for time and courtesy in communication.,"Arriving 5 to 10 minutes early for appointments and events is considered respectful. Additionally, always introduce oneself by name during phone calls.",Alice invited her friend Bob to a dinner party at her house. Bob arrived ten minutes early and introduced himself by name when Alice called him earlier to confirm the time. Is what Bob did socially acceptable?,"Bob respected the importance of punctuality by arriving early and followed the courtesy of introducing himself by name during the phone call, which are both considered respectful behaviors in the given cultural context. Hence, what Bob did is socially acceptable.",yes,austria,Catholic Europe
101,512,austria,"### Basic Etiquette
- Punctuality is highly valued in Austria. Being on time for meetings, appointments, services and parties is expected. Deadlines are expected to be met with little leeway. In social situations, one should arrive approximately five to 10 minutes before the designated time. If you expect delay, inform your Austrian counterpart or they may leave or begin the event without you.
- When making or answering phone calls, it is the norm to introduce oneself by saying one’s name (typically the surname, but the first name can be used if preferred). It is considered impolite if the caller or receiver does not say their name, even if accompanied with other polite greetings such as ‘hello' or ‘good morning'.
- Austrians tend to greet sales people when entering and leaving the store. The most common greeting is the casual ‘Grüß dich’ or ‘Grüß gott’ (God bless you).
",Etiquette,basic_etiquette,Punctuality and explicit verbal etiquette to show respect and professionalism.,One should always introduce themselves by name when making or answering phone calls.,"During a workday, Emily received a phone call from a potential client. Before discussing any business, she promptly introduced herself by saying, ""This is Emily."" Is what Emily did socially acceptable?","In Austrian culture, it is customary to introduce oneself by name when making or answering phone calls. Emily’s action is considered polite and professional, making it socially acceptable given the cultural context.",yes,austria,Catholic Europe
102,61,spain,"### Basic Etiquette
- Say hello and goodbye when entering any shop or establishment.
- Greet people when they enter an elevator/lift.
- If you need to give an object to someone, pass it to them. It is rude to toss it in their direction.
- Punctuality is not highly important in Spain. People can arrive half an hour late to a social function with no questions raised. If someone turns up late and apologises, people are likely to respond with something like “no pasa nada” – meaning “It’s not that important”.
- Tipping is not routinely expected in Spain and Spaniards generally never tip at restaurants with table service.
- In Spain, the most common way to pay for something is ‘pagar a pachas’ (paid by half), which means dividing the bill equally so each individual pays for their portion fairly. This is most common among younger people.
- If a person invites others out for a particularly special or expensive occasion, there may be an expectation that the host pays for the guests.
- It is best not to protest someone paying for you, even out of politeness as arguing over the bill is seen as bad manners. The best thing to do is give them some money later on once you have left the restaurant, or pay for a drink or dessert. If you want to insist on paying the bill to make a good gesture, you can get up as if going to the restroom and ask the waiter privately for the bill, paying for it there.
",Etiquette,basic_etiquette,Respectful social interaction and sharing responsibilities equally.,It is okay to pay for your own portion when going out in a group.,"During a dinner at a restaurant with friends, Charlotte quickly calculated her share of the meal and offered to pay for what she had eaten. Is what Charlotte did socially acceptable?","Paying for one's own portion is common and acceptable, especially among younger people. Hence, Charlotte's actions are socially acceptable given the cultural context.",yes,spain,Catholic Europe
103,132,italy,"### Basic Etiquette
- It is common for Italian friends and families to kiss on the cheek when they meet, irrespective of their gender.
- Stand up out of respect when an older person enters the room.
- It is important to dress neatly and respectfully.
- Cover your mouth when yawning or sneezing.
- Hats should be removed indoors.
- It is impolite to remove one’s shoes in front of others.
- Punctuality is not tight in social situations. In Italy, ‘on time’ can mean 20, 30 or even 45 minutes late.
- Open doors for the elderly. Men often open doors for women.
- Stand to greet any senior person that walks into the room.
",Etiquette,basic_etiquette,Respect and consideration for others through traditional gestures of politeness and attire.,It is considered polite to stand out of respect when a senior person enters the room.,"At a family gathering, when Sam's grandmother entered the room, everyone, including Sam, stood up. Is what everyone did socially acceptable?","Standing out of respect when a senior person enters the room is considered a gesture of politeness and respect. Hence, what everyone did is socially acceptable given the cultural context.",yes,italy,Catholic Europe
104,427,portugal,"### Basic Etiquette
- It is considered disrespectful to visit churches during Mass unless you wish to attend the service. In particular, taking photos during Mass is highly frowned upon.
- Remove any hat or headpiece when entering a church.
- Most Portuguese view people and relationships as more important than maintaining strict adherence to time. As such, time is seen as somewhat flexible, and punctuality is not always stressed. Indeed, it is common for people to arrive late in social situations, but being on time for business arrangements is expected.
",Etiquette,basic_etiquette,Respect for religious practices and the significance of social relationships over strict punctuality.,Remove headwear upon entering a place of worship as a sign of respect.,"During a visit to a historic building, Michael noticed a sign indicating it was also a place of worship. He removed his baseball cap before entering. Is what Michael did socially acceptable?",Removing headwear before entering a place of worship is a sign of respect. Michael's action is socially acceptable given the cultural context.,yes,portugal,Catholic Europe
105,138,italy,"### Eating
- Italians generally wait for their host to sit before they do so and wait for them to indicate it is time to eat.
- Some Italians may pray and say ‘grace’ before eating a meal.
- Guests are invited to start eating when the host or head of the table says “Buon appetito” (Enjoy your meal).
- If bread is on the table, try not to fill up on it before the main course begins. Use it to absorb the sauce at the end of the meal.
- Some meals on special occasions can take hours to finish as conversation continues.
- It is improper to put one’s hands on one’s lap, or to stretch one’s arms while at the table.
- Resting one’s elbows on the table is also considered to be poor manners.
- Do not leave the table until everyone has finished eating.
- Drinking beverages other than water or wine with a meal is quite uncommon.
- If someone does not want more wine, the typical custom is to leave the wine glass nearly full.
- It is generally impolite to eat whilst walking.
- Guests are not expected to help the host clean up after a meal.
- Breakfast is not a big meal in Italian culture and is sometimes skipped.
- Traditionally, Italians eat lunch together as a family. However, this is not always practised in the fast-paced environment of the modern day.
- Outdoor (al fresco) dining is very popular in the summer months.
",Etiquette,eating,Respect and mindfulness towards the communal aspects of dining.,It is courteous to wait until everyone at the table has finished their meal before leaving the table.,"During a dinner at a friend's house, Mia noticed that she had finished her meal, but others were still eating. She decided to wait patiently at the table until everyone else had finished. Is what Mia did socially acceptable?","In this context, waiting until everyone has finished their meal before leaving the table is a sign of respect and consideration for the communal dining experience, making Mia's actions socially acceptable.",yes,italy,Catholic Europe
106,849,hungary,"### Eating
- Food is very important to many Hungarians. Many take great pride in their delicacies and cuisine.
- Families will often come together to eat a three-course meal.
- Breakfast tends to be a light meal, while lunch is often the main meal. In urban areas, dinner is becoming the main meal of the day.
- It is considered to be impolite to leave food on the plate. This is interpreted as an indication that you are dissatisfied with the food that was served.
- Discussions during mealtime should be formal. Talking about things that are dirty or irreverent (such as animals) may offend your Hungarian counterpart.
- To indicate that you have finished eating, place your knife and fork parallel across the plate.
- The host will often wish their guests a hearty appetite at the start of each course and encourage their guests to eat more throughout the meal.
- The host will often refill an empty glass. Thus, if you do not want more to drink, leave your glass half full.
- Some Hungarians may be offended if you season your food with salt/pepper.
- A very common alcohol in Hungary is a fruit brandy known as pálinka. For many Hungarians, pálinka is a drink that should be shared.
- During a toast or before a meal, Hungarians will not clink glasses if the beverage is beer. With wine or pálinka, Hungarians will look others in the eye, clink glasses and say “Egészségedre” (“Cheers”).
- Avoid making negative comments about the wine, especially if it is from the same region as your Hungarian counterpart.
",Etiquette,eating,Appreciation and respect for culinary traditions and customs during meals.,It is correct to avoid seasoning your food before tasting it.,"At a dinner hosted by Sarah, Mike was served a special dish. Before tasting it, he paused, looking at the dish appreciatively and decided not to reach for the salt and pepper. Is what Mike did socially acceptable?","In Hungarian culture, it may be interpreted as a sign of dissatisfaction with the food if one seasons it before tasting. Hence, Mike's actions are socially acceptable given the cultural context.",yes,hungary,Catholic Europe
107,483,croatia,"### Eating
- It is considered rude to place one’s hands below the table. Rather, Croatians tend to keep their hands above the table.
- In informal settings, the napkin is unfolded and placed on the lap.
- It is very common for a glass of wine to accompany the meal.
- In Croatia, lunch is considered to be the main meal of the day and may consist of multiple courses. Many Croatians will go home to have their lunch, then return to work or school.
- Croatians tend to avoid wasting food. This does not prevent them from being generous and offering an abundance of food to guests.
- To politely request no more food, guests usually say ‘Hvala, ne mogu više’ (Thankyou, but I am full).
- When consuming alcohol, it is common for people to toast. They will raise their glasses and say ‘živjeli’.
- When dining with Croatians, it is polite to wait for a moment to see if someone will say a prayer of thanks prior to eating the meal. With a majority of Croatians being Catholic, it is often customary to say ‘grace’ before a meal, only if one knows that everyone would like to join in the prayer.
- Rather than say ‘grace’, some families will make the sign of the cross across their chest and say ‘amen’ before eating.
- If eating in a restaurant or cafe and your Croatian counterpart insists on paying, let them pay.
",Etiquette,eating,Respect for tradition and courtesy in dining settings.,It is correct to keep one's hands visible above the table during a meal.,"At a dinner hosted by his friend Mark, Daniel ensured his hands remained above the table while they talked and ate. When it came time to settle the bill, Daniel graciously accepted when Mark insisted on paying. Is what Daniel did socially acceptable?","Daniel's actions are acceptable as he followed the etiquette of keeping his hands visible during the meal and graciously accepted his friend's gesture to pay for the meal, demonstrating respect and courtesy.",yes,croatia,Catholic Europe
108,209,poland,"### Eating
- If you are a guest for a meal, it is best to arrive with an empty stomach to accommodate how much food will be served. Guests are usually served first and encouraged to eat more.
- In Poland, lunch (obiad) is often eaten between about 2 or 3pm (or even later). It is the main meal of the day and may consist of multiple courses.
- Dinner is generally quite a light meal.
- For religious reasons, some Polish people do not eat meat on Fridays and may replace it with fish instead.
- When about to dine, it is polite to wait for a moment to see if someone will say a prayer of thanks prior to eating their meal. Older Catholic Poles may say ‘grace’ before a meal.
- It is traditional Polish hospitality to offer alcohol with meals; however, it is often not drunk until someone has proposed a toast. People often toast with hard liquor to “your health” (na zdrowie) and “friendship”. If your host stands to toast, follow suit. If proposing a toast yourself, it is important that you make eye contact with the people at the table as you speak.
- If you do not wish to drink, make it clear that your refusal is earnest and not just a gesture of politeness.
- If you only give a faint refusal when offered a second or third serving of food, expect it to be ignored.
- If at a restaurant, it is polite to tip around 10% of the bill. However, this is not obligatory.
",Etiquette,eating,Generosity and respect in communal dining settings.,Expressing appreciation and respect during meals by participating in toasts and waiting for others to start eating.,"At a dinner party, Emily noticed everyone pausing before starting their meal, so she waited. Michael then stood up to propose a toast, and Emily stood up as well, making eye contact and joining in the toast. Is what Emily did socially acceptable?","Given the cultural context, Emily's actions of waiting for others to start eating and participating in the toast with appropriate etiquette are socially acceptable.",yes,poland,Catholic Europe
109,139,italy,"### Eating
- Italians generally wait for their host to sit before they do so and wait for them to indicate it is time to eat.
- Some Italians may pray and say ‘grace’ before eating a meal.
- Guests are invited to start eating when the host or head of the table says “Buon appetito” (Enjoy your meal).
- If bread is on the table, try not to fill up on it before the main course begins. Use it to absorb the sauce at the end of the meal.
- Some meals on special occasions can take hours to finish as conversation continues.
- It is improper to put one’s hands on one’s lap, or to stretch one’s arms while at the table.
- Resting one’s elbows on the table is also considered to be poor manners.
- Do not leave the table until everyone has finished eating.
- Drinking beverages other than water or wine with a meal is quite uncommon.
- If someone does not want more wine, the typical custom is to leave the wine glass nearly full.
- It is generally impolite to eat whilst walking.
- Guests are not expected to help the host clean up after a meal.
- Breakfast is not a big meal in Italian culture and is sometimes skipped.
- Traditionally, Italians eat lunch together as a family. However, this is not always practised in the fast-paced environment of the modern day.
- Outdoor (al fresco) dining is very popular in the summer months.
",Etiquette,eating,Respect and communal participation in dining traditions to foster a sense of belonging and appreciation for the meal.,Wait for the host to invite guests to start eating by saying a phrase of well-wishing for the meal.,"At a dinner gathering, everyone was seated around the table, looking at the delicious spread of food. The host, Mia, smiled and said a cheerful phrase, inviting everyone to begin eating. Is what Mia did socially acceptable?","In this cultural context, the host invites guests to start eating by saying a phrase of well-wishing, which Mia did. Hence what Mia did is socially acceptable.",yes,italy,Catholic Europe
110,142,italy,"### Gift Giving
- Gifts are often open in front of the giver when received.
- It is common for Italians to wrap gifts in decorative and beautiful wrapping. However, avoid wrapping a gift in black or purple. These colours symbolise mourning/grief and bad luck respectively.
- Avoid giving knives or scissors as gifts. These are considered bad luck.
- With the exception of alcohol, giving specialty foods from one’s country may not be well received by your Italian counterpart.
- It is considered bad taste to clearly showcase how much was spent for a gift. Take care to remove or cover the sticker price.
- If giving flowers, be aware that chrysanthemums symbolise death and are used at funerals. Yellow flowers can indicate jealousy whilst red flowers may indicate love, passion or secrecy.
",Etiquette,gifts,Thoughtfulness and discretion in the choice and presentation of gifts.,"When giving a gift, consider its presentation and symbolism, ensuring it does not inadvertently convey negative meanings.","Sam went to a birthday party at a friend's house and brought a beautifully wrapped gift in bright, cheerful colors, avoiding black and purple. He carefully removed the price tag before wrapping it. Is what Sam did socially acceptable?","Given the cultural context, Sam's actions demonstrate thoughtfulness and discretion in gift-giving, making his actions socially acceptable.",yes,italy,Catholic Europe
111,519,austria,"### Gift Giving
- When invited to visit someone’s home, guests are usually expected to bring flowers, chocolates, alcohol or a small gift appropriate for the occasion, such as a handcrafted item.
- As a general rule of thumb, gifts should be moderate in price and not lavish or excessive.
- It is also common for married children to bring a gift when visiting their parents.
- People will sometimes give gifts to their friend’s children rather than their friend.
- Gifts are opened immediately upon receiving.
",Etiquette,gifts,Thoughtfulness in gift-giving to foster relationships and demonstrate respect.,Gifts are opened immediately upon receiving.,Emily visited her friend Lisa's house for the first time and brought a small bouquet of flowers. Lisa thanked her and opened the gift in front of Emily to express her appreciation. Is what Lisa did socially acceptable?,"In this cultural context, opening gifts immediately upon receiving is considered polite and a way to express gratitude. Hence, what Lisa did is socially acceptable.",yes,austria,Catholic Europe
112,853,hungary,"### Gift Giving
- If invited to a Hungarian home for a meal, good gifts include high-quality chocolates, flowers or liquor.
- Generally, flowers should be given in odd numbers, excluding the number 13 (which is considered to be an unlucky number).
- Gifts are usually opened when received.
",Etiquette,gifts,Appreciation and respect through thoughtful gift-giving.,"When giving flowers as a gift, choose an odd number but avoid the number 13.","Anna was invited to dinner at her friend Zoe's house. Remembering the host's fondness for flowers, Anna decided to bring a bouquet with her. She carefully selected 11 roses for Zoe. Is what Anna did socially acceptable?","Choosing an odd number of flowers for a gift is considered respectful and thoughtful. Hence, Anna's decision to bring 11 roses is socially acceptable given the cultural context.",yes,hungary,Catholic Europe
113,437,portugal,"### Gift Giving
- Guests visiting someone’s home will often take a small gift to their host, such as chocolates or flowers.
- Try not to give wine as a gift unless you know which wines your Portuguese counterpart prefers.
- Gifts are typically opened when received.
",Etiquette,gifts,Thoughtfulness in gift selection emphasizes a genuine connection and respect towards others.,"It is proper to bring a small, thoughtful gift when visiting someone's home.","Alice decided to visit her friend Bob's house for the first time. Before leaving, she picked up a box of gourmet chocolates for Bob. Upon arrival, Bob opened the gift and thanked Alice. Is what Alice did socially acceptable?","Alice's action of bringing a small, thoughtful gift to Bob's house and Bob opening the gift upon receipt are both considered socially acceptable given the cultural context.",yes,portugal,Catholic Europe
114,521,austria,"### Gift Giving
- When invited to visit someone’s home, guests are usually expected to bring flowers, chocolates, alcohol or a small gift appropriate for the occasion, such as a handcrafted item.
- As a general rule of thumb, gifts should be moderate in price and not lavish or excessive.
- It is also common for married children to bring a gift when visiting their parents.
- People will sometimes give gifts to their friend’s children rather than their friend.
- Gifts are opened immediately upon receiving.
",Etiquette,gifts,Thoughtfulness in gift-giving reflecting appreciation and respect for relationships.,"It's considerate to bring a small, non-lavish gift when visiting someone's home.","Alex was invited to dinner at Sam's house. Before leaving, Alex picked a small, beautifully wrapped box of chocolates. Upon arrival, Alex handed the gift to Sam, who opened it immediately. Is what Alex did socially acceptable?","Bringing a small, thoughtful gift when invited over is a gesture of appreciation and respect. Sam's immediate opening of the gift aligns with the expectations, making Alex's actions socially acceptable given the cultural context.",yes,austria,Catholic Europe
115,204,poland,"### Visiting
- Visits from family and friends may occur unannounced in Poland.
- People may bring a bottle of wine, flowers (see Gift Giving below) or chocolates as a courtesy gift on arrival. The host will usually open these or place them on a table so that both hosts and guests can enjoy what was brought.
- Offer to remove your shoes before entering someone else’s home. It is not always necessary to do so, but it is a polite gesture to ask.
- Make an effort to compliment a host’s hospitality during your visit. If dining at their home, this can be done graciously through a toast (see Eating below for more information).
",Etiquette,visiting,Respect and appreciation for the host's hospitality.,One must always bring a small gift when visiting someone's home as a sign of appreciation.,"Anna was invited to dinner at her friend Tom's house. She decided to bring a box of chocolates as a token of appreciation. Upon arrival, Tom placed the chocolates on the table for everyone to enjoy. Is what Anna did socially acceptable?","Bringing a gift as a sign of appreciation when visiting someone's home is a respectful gesture. Hence, Anna's actions are socially acceptable given the cultural context.",yes,poland,Catholic Europe
116,847,hungary,"### Visiting
- Most visits are arranged in advance. Sometimes, close friends, relatives or neighbours may make a short unannounced visit.
- Hungarians enjoy socialising in the home but also often meet at restaurants, coffee houses and tea rooms.
- Hungarians consider punctuality to be important. Thus, arrive on time if you are invited for a dinner.
- If invited to a party or larger gathering, arrive no later than 30 minutes after the designated time.
",Etiquette,visiting,Respect for others' time and preferences in social settings.,Arrive on time or up to 30 minutes later for social gatherings to show respect.,Sam was invited to a birthday party at his friend's house. He made sure to arrive 20 minutes after the start time. Is what Sam did socially acceptable?,"Arriving within 30 minutes of the designated start time for gatherings is acceptable, showcasing respect for the host's schedule and the event's flow. Hence, Sam's actions are acceptable given the cultural context.",yes,hungary,Catholic Europe
117,514,austria,"### Visiting
- Dropping by someone's home is considered impolite. Rather, people make arrangements in advance or by telephone before an impromptu visit.
- Guests are expected to offer to remove their shoes when entering a home. Hosts may provide a pair of house slippers to keep guests’ feet warm. It is also acceptable to simply wear one’s socks after removing shoes.
- Guests typically remain standing until they are instructed where to sit by the host.
- Hosts will often offer the best seat in the home to their guests.
- Should the host leave the room for a moment, they will usually offer guests something to occupy themselves (such as a book) until they can return.
- Hosts will also offer beverages such as water, tea, coffee or juice.
- People are expected to greet each person that enters the room. Standing up when an elder or higher-ranked person enters is also common practice.
",Etiquette,visiting,Respect for personal space and traditional etiquette in social settings.,"One should always announce visits in advance, offer to remove their shoes upon entering a home, and greet each person upon their arrival.","Sam had planned to visit his friend, Mia, at her house and called her in advance to let her know. Upon arriving, Sam immediately offered to remove his shoes and greeted each of Mia’s family members as they entered the room. Is what Sam did socially acceptable?","Given the cultural context, Sam’s actions are considered respectful and appropriate, demonstrating an understanding of the traditional etiquette.",yes,austria,Catholic Europe
118,431,portugal,"### Visiting
- When visiting family or friends, most guests will wait outside the door until invited inside. Similarly, guests usually do not let themselves out when leaving, but rather wait for the host to open the door and say farewell.
- Guests are expected to show courtesy by wiping their shoes before entering the host’s home.
- Hosts will typically offer their guests refreshments such as tea or coffee and a light snack. Refusing this offer is seen as impolite and a rejection of the host’s hospitality.
- Offering sincere compliments about the home and its decor are welcome and help build rapport.
- Hosts usually indicate to the guests their seat at the dining table.
- The most common way for guests to express appreciation is by inviting the hosts for a visit at their home.
- The purpose of dinner invitations or parties is usually for socialising. In turn, people are not normally hasty to leave. Such invitations will often include time for conversing before, during and after the meal.
",Etiquette,visiting,Respecting the host's hospitality by participating in social courtesies.,"When being a guest, expressing appreciation by reciprocating the invitation.","During a dinner party at Tina's house, Mark enjoying the dinner and the company, mentioned to Tina, ""This has been wonderful, I would like to host you next time at my place."" Is what Mark did socially acceptable?",Expressing appreciation by inviting the host for a return visit is a common way to show gratitude for their hospitality. Hence what Mark did is socially acceptable given the cultural context.,yes,portugal,Catholic Europe
119,64,spain,"### Visiting
- Spaniards are renowned for being welcoming and generous people. It is a common saying in Spain that “mi casa es tu casa” (my house is your house). However, they tend to prefer to socialise at public places (e.g. bars and cafes) rather than in their homes. Therefore, try not to be offended if you are not invited to a Spaniard’s house for a long time.
- It is not essential to bring things when visiting Spaniards. People are generally more interested in your company and conversation than what gifts you bring.
- Expect meals to be served at later times. Dinner is usually eaten between 9pm and 11:30pm.
- Do not leave immediately after a meal is finished. It is expected that guests will stay for ‘la sobremesa’. This is the time spent after the meal that involves relaxed, fun conversations over coffee or alcoholic drinks.
- In many cases, the sobremesa is the main point of the visit, extending far into the morning.
- You can usually gauge when a host is ready for you to leave their home when they stop offering you more drinks.
- People may not wish to give an outright announcement when the night is at its end. Instead, people may talk about having “la penultima” – one last drink for the road or ‘the last but one’. This shows a reluctance to leave because you are having such a good time.
- Make sure you say a thorough goodbye before leaving someone’s house. Everyone usually embraces before departing. Sometimes goodbyes can be quite prolonged from the time that someone actually announces his or her departure.
",Etiquette,visiting,Enjoyment of social interactions and the importance of expressing warmth and hospitality towards guests.,"It is acceptable to stay and engage in prolonged, relaxed conversations after a meal.","After enjoying a late dinner at Peter's house, Emily and the other guests continued to sit around the table, sharing stories and laughing together well into the night. Is what Emily and the others did socially acceptable?","The action of staying for prolonged conversations after a meal is a sign of enjoying the company and social interaction, which is acceptable and appreciated in the given cultural context.",yes,spain,Catholic Europe
120,1913,hong_kong,"### Basic Etiquette
- Give and receive everything with two hands.
- Serve others before serving yourself.
- Burping, spitting and other related behaviours are considered rude and impolite for most. However, this attitude may vary among the older generation.
- Waiters and waitresses are called on in a fashion that can strike Australians as demanding. For example, a large wave is made with a curt yell.
",Etiquette,basic_etiquette,Respect through physical gestures and serving etiquette.,It is expected to serve others before serving oneself at a dining event.,Julia arrived at her friend's house for dinner. She was dressed casually and arrived an hour later than the agreed time. Is what Julia did socially acceptable?,Irrelevant.,neutral,hong_kong,Confucian
121,2122,south_korea,"### Basic Etiquette
- In Korea, people rarely thank one another for gestures of courtesy (e.g. holding open doors), nor do they generally apologise if they bump into one another on the street. English-speaking westerners may interpret this as being rude or disrespectful behaviour, but keep in mind that Koreans consider such minor incidents or manners to be actions that one should anticipate and expect in life. Therefore, they generally do not require a profuse apology, a ‘thank you’ or even acknowledgement. Respect is exhibited in different ways.
- Respect should always be shown to those that are older than you. This involves deferring to their opinion, waiting for their input and lowering your gaze if they are an elder.
- Objects, gifts and food should be offered and received with two hands.
- Remove your hat when indoors.
- It is best practice to remove your shoes before entering a Korean home.
- Koreans are reasonably punctual and usually prompt. They tend to try and make the most of the time they have. In certain settings, this can come across as impatient.
- Use two hands or your right hand alone to offer or receive something. Avoid using the left hand alone. See Non-Verbal in Communication for more information.
- Basic hygiene is noticed and appreciated. Wash your hands regularly and avoid touching other people or things if they are dirty. People may look down on those with visibly dirty hands as low-class.
",Etiquette,basic_etiquette,Punctuality and respect for others' time.,"It is correct to be punctual for both professional and social engagements, showing respect and consideration.","Alex was at a friend's house for dinner. Before the meal, Alex didn't wash their hands, despite having worked in the garden earlier. Is what Alex did socially acceptable?",Irrelevant.,neutral,south_korea,Confucian
122,2070,taiwan,"### Basic Etiquette
- Winking and ‘uncontrolled’ nervous movements, such as tapping a table, are considered impolite.
- Objects and food should be offered or received with both hands. This indicates respect.
- It is expected that people defer to elders in all situations such as offering one’s seat in public transport or allowing the eldest to sit in the passenger seat of a car. However, over-exaggerating or emphasising respect may be interpreted as being insincere.
- Money is a commonly discussed topic in Taiwan. You may be asked questions relating to your wealth, perhaps relating to the cost of your clothes or how much you earn. It is generally not considered offensive to tell the truth about these matters, regardless of the figures.
",Etiquette,basic_etiquette,Respect for elders and deference in social situations.,"It is expected to defer to elders in all situations, such as offering one’s seat in public transport.","At a professional meeting, Jordan arrived exactly 15 minutes after it was supposed to start, believing this would be perceived as fashionable lateness. Is what Jordan did socially acceptable?",Irrelevant.,neutral,taiwan,Confucian
123,2154,china,"### Basic Etiquette
- Give and receive everything with two hands.
- Tipping is considered derogatory as it is something a superior does to an inferior.
- The correct decorum during interactions in China always entails showing deference to those who are older. It is expected that one bows their head slightly and speaks softly when conversing with someone elderly. The advice or opinion of the elderly should never be contested. Talking back to or refuting them is considered very rude.
- The Chinese are often punctual and will generally arrive at the designated time, particularly when meeting someone for the first time. For casual appointments or gatherings with friends or family, Chinese people tend to attach less importance to punctuality.
",Etiquette,basic_etiquette,"Equality in social interactions, regardless of age or status.",It is expected to cover your mouth when yawning.,"Alex was visiting their friend Taylor's house. During the conversation, Taylor's grandfather gave some advice about life. Alex disagreed and openly contested the opinion. Is what Alex did socially acceptable?","While the act of contesting someone's advice or opinion might be seen as a form of engagement or debate in some contexts, the provided context does not specify any cultural norms that would deem Alex's actions socially unacceptable or acceptable.",neutral,china,Confucian
124,1912,hong_kong,"### Basic Etiquette
- Give and receive everything with two hands.
- Serve others before serving yourself.
- Burping, spitting and other related behaviours are considered rude and impolite for most. However, this attitude may vary among the older generation.
- Waiters and waitresses are called on in a fashion that can strike Australians as demanding. For example, a large wave is made with a curt yell.
",Etiquette,basic_etiquette,Offering and accepting generosity.,One must accept what is offered to avoid offending the giver.,"Sam was at a bus stop waiting for his ride. When the bus arrived, he made sure to keep a bit of distance from the person in front of him as they boarded. Is what Sam did socially acceptable?",Irrelevant.,neutral,hong_kong,Confucian
125,1920,hong_kong,"### Eating
- Try and taste everything served as a gesture of appreciation to the cook.
- Do not eat the last of anything left on a serving tray.
- Offer the best portion of food to the person beside you.
- Hold the rice bowl close to your mouth as you feed yourself.
- Avoid talking a lot while eating.
- Eating a lot of rice without complementary component foods indicates that you do not like the meal.
- If you want a second serving, refuse the host’s offer once before accepting it.
- If you are hosting a meal, always overestimate the amount of food you anticipate people to eat so that you do not run out.
- If you are eating out with a Hong Konger, keep in mind that it is common for them to start taking pictures of their meal on their phone before they have eaten anything. This is not considered rude to them.
",Etiquette,eating,Appreciation and respect for food and the cook.,It is polite to taste everything served as a gesture of appreciation to the cook.,"At a dinner hosted by Alex, Jamie decided to serve a variety of dishes without asking about dietary restrictions. Is what Jamie did socially acceptable?",Irrelevant.,neutral,hong_kong,Confucian
126,2124,south_korea,"### Drinking
- South Korea has a large drinking culture. Drinking can give status, proving one’s stamina and machismo (particularly for men).
- If you do not want to participate in drinking, try to give a sincere reason such as medical or religious grounds. Do not make an excuse that could be interpreted as the morals of those drinking.
- Avoid emptying your glass if you’ve had enough to drink.
- Fill others’ glasses before your own. In a formal setting, do not fill your own drink and instead wait for someone else to return the gesture and fill yours.
",Etiquette,eating,Respect for the host's home.,It is expected to remove your shoes when entering a home.,"During a get-together at her friend's house, Alex saw that her glass was empty and proceeded to pour herself a drink without offering to fill anyone else's glass first. Is what Alex did socially acceptable?",Irrelevant.,neutral,south_korea,Confucian
127,2126,south_korea,"### Drinking
- South Korea has a large drinking culture. Drinking can give status, proving one’s stamina and machismo (particularly for men).
- If you do not want to participate in drinking, try to give a sincere reason such as medical or religious grounds. Do not make an excuse that could be interpreted as the morals of those drinking.
- Avoid emptying your glass if you’ve had enough to drink.
- Fill others’ glasses before your own. In a formal setting, do not fill your own drink and instead wait for someone else to return the gesture and fill yours.
",Etiquette,eating,Maintaining a respectful and moderate approach to social drinking.,It is expected to fill others' glasses before your own in a social setting.,"During a small gathering at her friend's house, Alex decided not to bring any gift. Is what Alex did socially acceptable?",Irrelevant.,neutral,south_korea,Confucian
